file_name,caption,like,date,location
img_85.jpg,,1 like,2026-03-31T15:18:33.000Z,Locations
img_86.jpg,,,2024-05-01T10:33:24.000Z,Locations
img_87.jpg,,,2022-05-17T11:57:10.000Z,Locations
img_88.jpg,,,2025-05-02T10:05:59.000Z,Locations
img_89.jpg,,,2026-04-05T12:56:58.000Z,Minang Rua Green Canyon
img_90.jpg,,,2023-06-19T02:41:07.000Z,Sidomulyo Lampung Selatan
img_91.jpg,,,2023-02-20T08:23:31.000Z,Pematang Sunrise
img_92.jpg,,2 likes,2023-06-17T03:27:03.000Z,Locations
img_93.jpg,,,2023-05-20T11:51:21.000Z,Happy Gaming IGG
img_94.jpg,,,2026-03-23T01:03:57.000Z,Air Terjun Way Kalam
img_95.jpg,,,2025-06-01T06:37:13.000Z,Locations
img_96.jpg,,,2023-07-28T08:40:25.000Z,Pantai Marina Kalianda Lampung Selatan
img_97.jpg,,,2025-08-17T00:59:22.000Z,Locations
img_98.jpg,,,2023-04-17T01:52:18.000Z,"Kalianda, Lampung, Indonesia"
img_99.jpg,,,2021-12-11T13:39:37.000Z,Pulau Mengkudu
img_100.jpg,,,2022-04-13T13:15:15.000Z,Krakatau Kahai Beach Hotel
img_101.jpg,,,2025-03-28T06:54:06.000Z,Locations
img_102.jpg,,1 like,2025-01-04T02:52:58.000Z,Pantai Marina Kalianda
img_103.jpg,,,2021-10-30T15:28:45.000Z,Sidomulyo Lama Umbul Keong
img_104.jpg,,,2025-12-10T08:00:41.000Z,Locations
img_105.jpg,,1 like,2025-05-04T15:28:09.000Z,Pantai Kedu Warna Kalianda
img_106.jpg,,,2023-10-26T14:01:53.000Z,"Desa Banjarmasin, Kecamatan Penengahan"
img_107.jpg,,,2025-08-16T02:47:09.000Z,Locations
img_108.jpg,,1 like,2025-08-10T12:25:37.000Z,Slanik Waterpark
img_109.jpg,,,2024-05-13T06:07:19.000Z,Way Tebing Cepa
img_110.jpg,,,2024-07-30T12:25:13.000Z,Locations
img_111.jpg,,,2025-08-17T03:29:46.000Z,"Menara Siger Lampung Selatan, Lampung"
img_112.jpg,,,2021-12-01T11:55:32.000Z,Pantai Titian Mutiara
img_113.jpg,,,2023-08-06T15:46:47.000Z,Krakatau Park
img_114.jpg,,,2025-10-11T12:19:13.000Z,Slanik Waterpark
img_115.jpg,,,2022-10-24T12:30:21.000Z,Way Tebing Cepa
img_116.jpg,,,2024-05-11T08:21:37.000Z,Bandar Lampung
img_117.jpg,,,2026-02-28T03:26:22.000Z,Locations
img_118.jpg,,,2025-07-04T08:02:06.000Z,Locations
img_119.jpg,,,2016-05-19T05:58:45.000Z,"Kalianda, Lampung, Indonesia"
img_120.jpg,,,2022-08-02T03:12:00.000Z,Pantai Batu Lapis Kalianda
img_121.jpg,,,2023-07-28T08:32:03.000Z,Locations
img_122.jpg,,,2025-08-17T04:26:22.000Z,Pantai Marina Kalianda Lampung Selatan
img_123.jpg,,,2024-06-09T04:00:21.000Z,Krakatau Kahai Beach Hotel
img_124.jpg,,1 like,2022-05-26T07:46:17.000Z,Locations
img_125.jpg,,,2023-11-13T13:56:43.000Z,Locations
img_126.jpg,,1 like,2025-03-31T11:10:37.000Z,Locations
img_127.jpg,,1 like,2025-04-21T10:05:38.000Z,"Natar, Lampung, Indonesia"
img_128.jpg,,,2022-08-02T03:16:54.000Z,Puncak Mas Sukadana Ham
img_129.jpg,,,2025-08-17T03:25:20.000Z,"Menara Siger Lampung Selatan, Lampung"
img_130.jpg,,,2022-04-27T21:24:41.000Z,Locations
img_131.jpg,,,2024-04-21T14:53:57.000Z,Locations
img_132.jpg,,,2025-02-06T00:17:12.000Z,Locations
img_133.jpg,,1 like,2025-01-05T13:06:20.000Z,Locations
img_134.jpg,,,2021-09-11T07:43:21.000Z,Pantai Kedu Warna Kalianda
img_135.jpg,,1 like,2023-01-04T23:08:22.000Z,Tejang Pulau Sebesi
img_136.jpg,,,2021-07-19T15:34:05.000Z,Pantai Kedu Warna Kalianda
img_137.jpg,,,2024-02-05T08:00:52.000Z,Locations
img_138.jpg,,,2024-02-22T13:17:17.000Z,"Lampung, Indonesia"
img_139.jpg,,,2023-10-11T02:05:40.000Z,Locations
img_140.jpg,,,2025-05-02T04:05:53.000Z,Locations
img_141.jpg,,,2022-08-02T01:38:33.000Z,Happy Gaming IGG
img_142.jpg,,,2025-10-06T10:54:30.000Z,Lummay Villa Resort
img_143.jpg,,1 like,2025-08-16T04:17:15.000Z,Locations
img_144.jpg,,,2024-12-07T22:58:34.000Z,Locations
img_145.jpg,,,2024-04-01T07:34:12.000Z,"Kalianda, Lampung, Indonesia"
img_146.jpg,,,2022-01-26T05:49:06.000Z,"Krawangsari, Natar, Lampung Selatan"
img_147.jpg,,,2026-04-10T06:05:05.000Z,Pantai Setigi heni
img_148.jpg,,,2024-02-07T10:06:17.000Z,Locations
img_149.jpg,,,2025-10-04T05:00:58.000Z,Slanik Waterpark
img_150.jpg,,,2023-03-04T14:20:31.000Z,Way Tebing Cepa
img_151.jpg,,,2024-02-22T05:20:47.000Z,"Lampung, Indonesia"
